,region,category,parameter,mode,powertrain,year,unit,value
38,Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0
39,Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,436.0
43,Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61.09
44,Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,665.92
55,Australia,Historical,EV charging points,EV,Publicly available fast,2019,charging points,251.0
56,Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1679.0
59,Australia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,350.0
60,Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1950.0
71,Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,351.0
72,Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1951.0
210,Belgium,Historical,EV charging points,EV,Publicly available fast,2017,charging points,222.0
211,Belgium,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1493.0
212,Belgium,Historical,EV charging points,EV,Publicly available fast,2018,charging points,242.0
213,Belgium,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2716.0
254,Belgium,Historical,EV charging points,EV,Publicly available fast,2019,charging points,359.0
255,Belgium,Historical,EV charging points,EV,Publicly available slow,2019,charging points,6070.0
263,Belgium,Historical,EV charging points,EV,Publicly available fast,2020,charging points,476.0
264,Belgium,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8006.0
295,Belgium,Historical,EV charging points,EV,Publicly available fast,2021,charging points,793.0
296,Belgium,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12023.0
333,Brazil,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4.89
334,Brazil,Historical,EV charging points,EV,Publicly available slow,2018,charging points,454.41
343,Brazil,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4.89
344,Brazil,Historical,EV charging points,EV,Publicly available slow,2019,charging points,454.41
349,Brazil,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4.89
350,Brazil,Historical,EV charging points,EV,Publicly available slow,2020,charging points,454.41
359,Brazil,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4.89
360,Brazil,Historical,EV charging points,EV,Publicly available slow,2021,charging points,454.41
418,Canada,Historical,EV charging points,EV,Publicly available fast,2017,charging points,673.0
419,Canada,Historical,EV charging points,EV,Publicly available slow,2017,charging points,5168.0
442,Canada,Historical,EV charging points,EV,Publicly available fast,2018,charging points,840.0
443,Canada,Historical,EV charging points,EV,Publicly available slow,2018,charging points,7100.0
444,Canada,Historical,EV charging points,EV,Publicly available fast,2019,charging points,975.0
445,Canada,Historical,EV charging points,EV,Publicly available slow,2019,charging points,7976.14
477,Canada,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2258.0
478,Canada,Historical,EV charging points,EV,Publicly available slow,2020,charging points,10936.0
481,Canada,Historical,EV charging points,EV,Publicly available fast,2021,charging points,3055.0
482,Canada,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12314.0
548,Chile,Historical,EV charging points,EV,Publicly available fast,2017,charging points,6.0
549,Chile,Historical,EV charging points,EV,Publicly available slow,2017,charging points,35.0
550,Chile,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8.0
551,Chile,Historical,EV charging points,EV,Publicly available slow,2018,charging points,61.0
564,Chile,Historical,EV charging points,EV,Publicly available fast,2019,charging points,42.0
565,Chile,Historical,EV charging points,EV,Publicly available slow,2019,charging points,128.0
566,Chile,Historical,EV charging points,EV,Publicly available fast,2020,charging points,84.0
567,Chile,Historical,EV charging points,EV,Publicly available slow,2020,charging points,268.0
580,Chile,Historical,EV charging points,EV,Publicly available fast,2021,charging points,116.0
581,Chile,Historical,EV charging points,EV,Publicly available slow,2021,charging points,364.0
832,China,Historical,EV charging points,EV,Publicly available fast,2017,charging points,83394.66
833,China,Historical,EV charging points,EV,Publicly available slow,2017,charging points,130508.34
834,China,Historical,EV charging points,EV,Publicly available fast,2018,charging points,111333.34
835,China,Historical,EV charging points,EV,Publicly available slow,2018,charging points,163666.67
914,China,Historical,EV charging points,EV,Publicly available fast,2019,charging points,214670.0
915,China,Historical,EV charging points,EV,Publicly available slow,2019,charging points,301238.0
916,China,Historical,EV charging points,EV,Publicly available fast,2020,charging points,309000.0
917,China,Historical,EV charging points,EV,Publicly available slow,2020,charging points,498000.0
1142,China,Historical,EV charging points,EV,Publicly available fast,2021,charging points,470000.0
1143,China,Historical,EV charging points,EV,Publicly available slow,2021,charging points,677000.0
1473,Denmark,Historical,EV charging points,EV,Publicly available fast,2017,charging points,370.0
1474,Denmark,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2114.0
1506,Denmark,Historical,EV charging points,EV,Publicly available fast,2018,charging points,387.0
1507,Denmark,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2170.0
1514,Denmark,Historical,EV charging points,EV,Publicly available fast,2019,charging points,449.0
1515,Denmark,Historical,EV charging points,EV,Publicly available slow,2019,charging points,2244.0
1552,Denmark,Historical,EV charging points,EV,Publicly available fast,2020,charging points,555.0
1553,Denmark,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2699.0
1560,Denmark,Historical,EV charging points,EV,Publicly available fast,2021,charging points,681.0
1561,Denmark,Historical,EV charging points,EV,Publicly available slow,2021,charging points,3491.0
2219,Finland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,141.0
