year,region,value
2010,Belgium,42.0
2010,China,3494.487231658
2010,Denmark,62.0
2010,France,998.0
2010,Germany,315.0
2010,Iceland,2.0
2010,India,449.0
2010,Italy,254.0
2010,Japan,2442.0
2010,Korea,66.0
2010,Netherlands,165.0
2010,New Zealand,10.0
2010,Norway,356.0
2010,Other Europe,11.0
2010,Poland,19.0
2010,Portugal,719.0
2010,Spain,76.0
2010,Sweden,4.0
2010,Switzerland,137.0
2010,USA,1191.0
2010,United Kingdom,530.0
2011,Australia,49.0
2011,Belgium,323.0
2011,Canada,520.0
2011,Chile,6.0
2011,China,7864.318876400001
2011,Denmark,448.0
2011,Finland,30.0
2011,France,4424.160003659999
2011,Germany,1927.0
2011,India,1428.0
2011,Italy,197.0
2011,Japan,13473.0
2011,Korea,278.0
2011,Mexico,3.0
2011,Netherlands,961.0
2011,New Zealand,17.0
2011,Norway,2038.0
2011,Other Europe,913.0
2011,Poland,46.0
2011,Portugal,194.0
2011,Spain,418.0
2011,Sweden,187.0
2011,Switzerland,436.0
2011,USA,17730.0
2011,United Kingdom,1504.0
2012,Australia,253.0
2012,Belgium,1535.0
2012,Brazil,91.99999809
2012,Canada,2020.0
2012,Chile,5.0
2012,China,13289.4575806
2012,Denmark,633.0
2012,Finland,179.0
2012,France,9932.0
2012,Germany,4320.0
2012,Iceland,28.0
2012,India,191.0
2012,Italy,817.0
2012,Japan,26928.0
2012,Korea,516.0
2012,Mexico,88.0
2012,Netherlands,5459.0
2012,New Zealand,28.0
2012,Norway,4331.0
2012,Other Europe,2038.0
2012,Poland,64.0
2012,Portugal,68.0
2012,Spain,737.0
2012,Sweden,1203.0
2012,Switzerland,862.0
2012,USA,53240.0
2012,United Kingdom,3157.0
2013,Australia,293.0
2013,Belgium,781.0
2013,Brazil,167.00000763
2013,Canada,3120.0
2013,Chile,5.0
2013,China,21495.259582
2013,Denmark,615.0
2013,Finland,218.0
2013,France,14752.0
2013,Germany,7528.0
2013,Greece,3.0
2013,Iceland,103.0
2013,India,408.0
2013,Italy,1152.0
2013,Japan,30950.0
2013,Korea,604.0
2013,Mexico,12.0
2013,Netherlands,22627.0
2013,New Zealand,36.0
2013,Norway,8568.0
2013,Other Europe,1630.0
2013,Poland,62.0
2013,Portugal,205.0
2013,South Africa,34.0
2013,Spain,991.0
2013,Sweden,1760.0
2013,Switzerland,1432.0
2013,USA,96700.0
2013,United Kingdom,4092.0
2014,Australia,1322.0
2014,Belgium,2203.0
2014,Brazil,61.0
2014,Canada,5065.0
2014,Chile,17.0
2014,China,97208.9104614
2014,Denmark,1647.0
2014,Finland,440.0
2014,France,17160.0
2014,Germany,13453.0
2014,Greece,39.0
2014,Iceland,232.0
2014,India,1000.0
2014,Italy,1648.0
2014,Japan,33338.0
2014,Korea,1260.0
2014,Mexico,48.0
2014,Netherlands,15699.0
2014,New Zealand,319.0
2014,Norway,20330.0
2014,Other Europe,3813.0
2014,Poland,204.0
2014,Portugal,226.0
2014,South Africa,15.0
2014,Spain,2122.0
2014,Sweden,4949.0
2014,Switzerland,2944.0
2014,USA,118780.0
2014,United Kingdom,15614.0
2015,Australia,1771.0
2015,Belgium,3923.0
2015,Brazil,87.0
2015,Canada,6966.0
2015,Chile,36.0
2015,China,328243.51563000004
2015,Denmark,5003.0
2015,Finland,685.0
2015,France,27924.0
2015,Germany,24207.0
2015,Greece,77.0
2015,Iceland,562.0
2015,India,450.0
2015,Italy,2552.0
2015,Japan,25482.0
2015,Korea,3323.0
2015,Mexico,99.0
2015,Netherlands,43993.0
2015,New Zealand,494.0
2015,Norway,34473.0
2015,Other Europe,5480.0
2015,Poland,346.0
2015,Portugal,1173.0
2015,South Africa,241.0
2015,Spain,2666.0
2015,Sweden,8929.0
2015,Switzerland,5778.0
2015,USA,113869.0
2015,United Kingdom,30402.0
2016,Australia,1369.0
2016,Belgium,9561.0
2016,Brazil,173.0
2016,Canada,11585.0
2016,Chile,31.0
2016,China,474226.107801437
2016,Denmark,1933.0
2016,Finland,1430.0
2016,France,35137.0
2016,Germany,27295.0
2016,Greece,97.0
2016,Iceland,1175.0
2016,India,729.0
2016,Italy,3640.0
2016,Japan,25020.3051453
2016,Korea,5060.0
2016,Mexico,775.0
2016,Netherlands,22915.0
2016,New Zealand,1502.0
2016,Norway,45545.0
2016,Other Europe,8389.0
2016,Poland,729.0
2016,Portugal,1883.0
2016,South Africa,377.0
2016,Spain,4397.0
2016,Sweden,13510.000248999999
2016,Switzerland,6219.0
2016,USA,159616.0
2016,United Kingdom,39248.0
2017,Australia,2284.0
2017,Belgium,14821.0
2017,Brazil,316.0
2017,Canada,16695.701172
2017,Chile,133.0
2017,China,777000.0029275999
2017,Denmark,1409.0
2017,Finland,3103.0
2017,France,43640.0
