region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV sales,Cars,BEV,2011,sales,49
Australia,Historical,EV stock,Cars,BEV,2011,stock,49
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.006478621
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000463603
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002785011
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.030392269
Australia,Historical,EV stock,Cars,BEV,2012,stock,222
Australia,Historical,EV sales,Cars,PHEV,2012,sales,80
Australia,Historical,EV stock,Cars,PHEV,2012,stock,80
Australia,Historical,EV sales,Cars,BEV,2012,sales,173
Australia,Historical,EV sales,Cars,BEV,2013,sales,191
Australia,Historical,EV stock,Cars,PHEV,2013,stock,182
Australia,Historical,EV sales,Cars,PHEV,2013,sales,102
Australia,Historical,EV stock,Cars,BEV,2013,stock,413
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034232352
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.005384222
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.017083243
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.156121373
Australia,Historical,EV stock,Cars,BEV,2014,stock,784
Australia,Historical,EV sales,Cars,PHEV,2014,sales,951
Australia,Historical,EV stock,Cars,PHEV,2014,stock,1133
Australia,Historical,EV sales,Cars,BEV,2014,sales,371
Australia,Historical,EV sales,Cars,BEV,2015,sales,759
Australia,Historical,EV stock,Cars,PHEV,2015,stock,2145
Australia,Historical,EV sales,Cars,PHEV,2015,sales,1012
Australia,Historical,EV stock,Cars,BEV,2015,stock,1543
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.198061869
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.032180339
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.042653665
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.152026013
Australia,Historical,EV stock,Cars,BEV,2016,stock,2211
Australia,Historical,EV sales,Cars,PHEV,2016,sales,701
Australia,Historical,EV stock,Cars,PHEV,2016,stock,2846
Australia,Historical,EV sales,Cars,BEV,2016,sales,668
Australia,Historical,EV sales,Cars,BEV,2017,sales,1208
Australia,Historical,EV stock,Cars,PHEV,2017,stock,3922
Australia,Historical,EV sales,Cars,PHEV,2017,sales,1076
Australia,Historical,EV stock,Cars,BEV,2017,stock,3419
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,436
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.255824059
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.060760558
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.423676342
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61.09388733
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,665.9233398
Australia,Historical,EV stock,Cars,BEV,2018,stock,5222
Australia,Historical,EV sales,Cars,PHEV,2018,sales,1802
Australia,Historical,EV stock,Cars,PHEV,2018,stock,5724
Australia,Historical,EV sales,Cars,BEV,2018,sales,1803
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.089387603
Australia,Historical,EV stock share,Cars,EV,2019,percent,0.163652301
Australia,Historical,EV stock,Cars,PHEV,2019,stock,8601
Australia,Historical,EV sales,Cars,PHEV,2019,sales,2877
Australia,Historical,EV stock,Cars,BEV,2019,stock,11505
Australia,Historical,EV sales,Cars,BEV,2019,sales,6283
Australia,Historical,EV charging points,EV,Publicly available fast,2019,charging points,251
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1679
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.223801017
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.05280447
Australia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,350
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1950
Australia,Historical,EV sales,Cars,BEV,2020,sales,5238
Australia,Historical,EV stock,Cars,BEV,2020,stock,16743
Australia,Historical,EV sales,Cars,PHEV,2020,sales,1700
Australia,Historical,EV stock,Cars,PHEV,2020,stock,10301
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.221504211
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.391047835
